                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.22389,                0.15276,                 1.1011,                0.99683,                0.99382,                  0.995,                0.92776,                0.41678,                0.22763,                 1.2985,             0.00036909,             0.00036909,             0.00036909
                      2,                0.24684,                0.23838,                  1.133,                0.99048,                0.99184,                0.99483,                0.91524,                0.46035,                0.25929,                 1.4167,             0.00072478,             0.00072478,             0.00072478
                      3,                0.26008,                0.26428,                  1.154,                 0.9858,                0.99609,                  0.995,                0.90954,                0.45214,                0.26507,                 1.3729,              0.0010658,              0.0010658,              0.0010658
                      4,                0.26371,                0.26648,                 1.1605,                0.94032,                0.96624,                0.99377,                0.90817,                 0.4489,                0.39758,                 1.3774,               0.001045,               0.001045,               0.001045
                      5,                0.26285,                0.25558,                  1.156,                0.98889,                0.99081,                0.99496,                0.91814,                0.43898,                0.25434,                 1.3618,               0.001023,               0.001023,               0.001023
                      6,                0.25953,                0.22563,                 1.1541,                0.96731,                0.96828,                0.99454,                0.91002,                0.45023,                0.29952,                 1.4111,               0.001001,               0.001001,               0.001001
                      7,                0.26082,                0.23043,                  1.148,                0.98201,                0.97637,                0.99464,                0.91531,                0.43962,                0.27346,                 1.3253,             0.00097901,             0.00097901,             0.00097901
                      8,                0.25497,                0.20789,                 1.1436,                0.99788,                0.99864,                  0.995,                0.91444,                0.45754,                 0.2319,                 1.3483,             0.00095702,             0.00095702,             0.00095702
                      9,                0.25046,                0.20555,                 1.1407,                0.99245,                0.99419,                0.99481,                0.91573,                0.45526,                0.23885,                 1.3468,             0.00093502,             0.00093502,             0.00093502
                     10,                0.25273,                0.19673,                 1.1389,                 0.9946,                0.97669,                 0.9942,                 0.9202,                0.43096,                0.25052,                 1.3437,             0.00091302,             0.00091302,             0.00091302
                     11,                0.25645,                0.19881,                 1.1388,                0.97944,                0.98839,                0.99457,                0.92204,                 0.4478,                0.26395,                 1.3927,             0.00089102,             0.00089102,             0.00089102
                     12,                0.24409,                0.18926,                 1.1293,                0.98652,                  0.995,                  0.995,                0.92027,                0.42122,                  0.209,                 1.3088,             0.00086902,             0.00086902,             0.00086902
