                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66168,                 2.1837,                 1.4243,                0.40269,                0.69671,                0.60755,                0.50241,                0.63672,                 1.9264,                 1.8509,             0.00036909,             0.00036909,             0.00036909
                      2,                 0.5457,                 1.3075,                  1.305,                0.74649,                0.83585,                0.90418,                0.70941,                0.91001,                 1.0612,                 2.2799,             0.00072478,             0.00072478,             0.00072478
                      3,                0.54006,                 1.0823,                 1.2915,                0.81584,                0.85932,                0.90186,                0.69341,                0.78777,                 1.0062,                 1.9702,              0.0010658,              0.0010658,              0.0010658
                      4,                0.51585,                 0.9415,                  1.263,                 0.9159,                 0.8738,                0.95111,                0.83499,                0.54901,                0.61738,                 1.6734,               0.001045,               0.001045,               0.001045
                      5,                0.50302,                  0.848,                 1.2555,                 0.8117,                0.82329,                0.91112,                0.77405,                0.59372,                0.72954,                 1.6777,               0.001023,               0.001023,               0.001023
                      6,                0.49223,                0.78828,                 1.2433,                0.90685,                0.97579,                 0.9784,                0.86343,                0.55158,                0.51588,                 1.6399,               0.001001,               0.001001,               0.001001
                      7,                0.48329,                0.72894,                 1.2304,                0.92871,                0.91764,                0.98817,                0.86724,                0.54521,                0.51266,                 1.6189,             0.00097901,             0.00097901,             0.00097901
                      8,                0.47398,                0.67517,                 1.2194,                0.97985,                0.93794,                0.99439,                0.82802,                0.66541,                0.48374,                 1.7584,             0.00095702,             0.00095702,             0.00095702
                      9,                0.46044,                0.62706,                 1.2121,                0.98041,                0.98052,                0.99451,                0.87421,                0.55545,                0.37692,                 1.5801,             0.00093502,             0.00093502,             0.00093502
                     10,                0.46232,                0.61415,                 1.2132,                0.97347,                0.96949,                0.99341,                0.88625,                0.50189,                0.35369,                 1.5017,             0.00091302,             0.00091302,             0.00091302
                     11,                0.45419,                0.57871,                 1.2031,                0.94707,                0.95642,                0.99123,                0.88621,                0.53174,                0.41847,                 1.6382,             0.00089102,             0.00089102,             0.00089102
                     12,                 0.4476,                0.54595,                 1.2012,                0.97929,                0.98789,                0.99477,                0.89648,                0.47525,                0.31753,                 1.4557,             0.00086902,             0.00086902,             0.00086902
                     13,                0.45181,                0.52871,                 1.1996,                 0.9695,                0.99113,                0.99416,                 0.8799,                0.53957,                0.33702,                 1.5631,             0.00084703,             0.00084703,             0.00084703
                     14,                0.44178,                0.50552,                 1.1886,                0.91872,                0.94875,                0.98522,                0.85515,                0.55738,                0.47705,                 1.6356,             0.00082503,             0.00082503,             0.00082503
                     15,                0.44312,                0.49389,                 1.1883,                0.98453,                0.98546,                0.99487,                0.88952,                0.49775,                0.33153,                 1.5126,             0.00080303,             0.00080303,             0.00080303
                     16,                0.43196,                0.45927,                 1.1776,                0.99574,                 0.9806,                0.99486,                0.89949,                0.44965,                 0.3053,                 1.3963,             0.00078103,             0.00078103,             0.00078103
                     17,                 0.4323,                0.46653,                 1.1802,                0.94536,                 0.9952,                0.99051,                0.88512,                0.48763,                 0.3746,                 1.4482,             0.00075904,             0.00075904,             0.00075904
                     18,                0.42766,                0.44564,                  1.175,                0.99255,                0.99329,                0.99474,                0.89675,                  0.477,                0.29791,                 1.4352,             0.00073704,             0.00073704,             0.00073704
                     19,                0.41994,                0.42663,                 1.1695,                 0.9953,                0.98875,                0.99496,                0.89373,                0.48652,                0.28566,                 1.4577,             0.00071504,             0.00071504,             0.00071504
