epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.3992,1.43674,2.39696,1.37627,0.29027,0.45713,0.32863,0.19413,1.30568,2.01509,1.3519,0.000474428,0.000474428,0.000474428
2,120.044,1.34845,1.95576,1.33997,0.39894,0.48607,0.37815,0.22164,1.31641,1.7561,1.36502,0.000931936,0.000931936,0.000931936
3,175.835,1.34562,1.86615,1.34393,0.35378,0.4753,0.3545,0.21377,1.3293,1.89757,1.38211,0.00137058,0.00137058,0.00137058
4,232.023,1.32785,1.77443,1.35119,0.40132,0.46159,0.40315,0.24524,1.25909,1.68666,1.33253,0.00134412,0.00134412,0.00134412
5,287.93,1.28851,1.70843,1.32028,0.46321,0.55644,0.43961,0.27825,1.24665,1.65448,1.31433,0.00131582,0.00131582,0.00131582
6,343.837,1.24728,1.63298,1.29558,0.46468,0.5417,0.47516,0.31241,1.19275,1.57396,1.28698,0.00128753,0.00128753,0.00128753
7,398.977,1.2289,1.59949,1.29121,0.45008,0.57236,0.49528,0.31913,1.14761,1.44982,1.25556,0.00125923,0.00125923,0.00125923
8,454.669,1.20327,1.54795,1.26636,0.49583,0.59769,0.53992,0.3575,1.11287,1.36492,1.23182,0.00123094,0.00123094,0.00123094
9,510.717,1.18824,1.50613,1.261,0.50795,0.56354,0.54116,0.35792,1.0911,1.38089,1.24023,0.00120265,0.00120265,0.00120265
10,566.435,1.16508,1.47868,1.24676,0.50669,0.58936,0.54434,0.35842,1.12794,1.38341,1.2455,0.00117435,0.00117435,0.00117435
11,621.237,1.16985,1.46735,1.24541,0.51979,0.62423,0.54855,0.37331,1.09557,1.31506,1.21221,0.00114606,0.00114606,0.00114606
12,676.894,1.13374,1.43929,1.22768,0.54321,0.58941,0.57173,0.39316,1.06434,1.2807,1.2066,0.00111776,0.00111776,0.00111776
