epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4015,1.42942,2.40915,1.37993,0.36272,0.47822,0.32441,0.1873,1.30795,2.04218,1.33254,0.000474428,0.000474428,0.000474428
2,105.679,1.33811,1.94697,1.33859,0.34443,0.4654,0.36044,0.21116,1.35644,1.85616,1.38167,0.000931936,0.000931936,0.000931936
3,154.562,1.33404,1.82966,1.33501,0.3879,0.48925,0.3764,0.22319,1.3466,1.78473,1.39891,0.00137058,0.00137058,0.00137058
4,203.684,1.30634,1.75142,1.33134,0.38965,0.51414,0.42117,0.26234,1.27728,1.70922,1.35795,0.00134412,0.00134412,0.00134412
5,252.273,1.27361,1.66938,1.31096,0.43294,0.51036,0.44888,0.28815,1.20773,1.61485,1.30539,0.00131582,0.00131582,0.00131582
6,300.739,1.24587,1.61283,1.29687,0.48762,0.57245,0.50592,0.32828,1.19683,1.43604,1.28344,0.00128753,0.00128753,0.00128753
7,349.101,1.21244,1.5575,1.27431,0.48017,0.56893,0.50283,0.32814,1.18412,1.42386,1.28335,0.00125923,0.00125923,0.00125923
8,397.766,1.19375,1.51187,1.26484,0.51134,0.57825,0.53042,0.34605,1.14959,1.3808,1.25391,0.00123094,0.00123094,0.00123094
9,445.99,1.1741,1.48327,1.24945,0.54439,0.5756,0.5511,0.37227,1.08735,1.34649,1.2358,0.00120265,0.00120265,0.00120265
10,494.345,1.16205,1.45262,1.24221,0.53549,0.58978,0.55353,0.37333,1.1371,1.35285,1.23844,0.00117435,0.00117435,0.00117435
11,542.82,1.15431,1.44387,1.23824,0.52479,0.61128,0.56361,0.38316,1.06243,1.30567,1.19599,0.00114606,0.00114606,0.00114606
12,591.543,1.12742,1.39824,1.21982,0.50939,0.60069,0.56432,0.38778,1.07588,1.26463,1.21559,0.00111776,0.00111776,0.00111776
13,639.872,1.10852,1.36642,1.21154,0.56883,0.58413,0.59249,0.4119,1.04243,1.23803,1.18562,0.00108947,0.00108947,0.00108947
